Minute,Rated,Power
11:09,700,0
11:09,700,0
11:09,700,17
11:09,700,21
11:09,700,7
11:09,700,9
11:10,700,9
11:10,700,12
11:10,700,11
11:10,700,37
11:10,700,38
11:10,700,12
11:11,700,55
11:11,700,11
11:11,700,56
11:11,700,38
11:11,700,14
11:11,700,59
11:12,700,13
11:12,700,17
11:12,700,71
11:12,700,49
11:12,700,6
11:12,700,9
11:13,700,82
11:13,700,75
11:13,700,82
11:13,700,1806
11:13,700,1738
11:13,700,1818
11:14,700,1820
11:14,700,1757
11:14,700,1810
11:14,700,1812
11:14,700,1721
11:14,700,1720
11:15,700,1798
11:15,700,1721
11:15,700,1730
11:15,700,1837
11:15,700,1836
11:15,700,1769
11:16,700,1845
11:16,700,1845
11:16,700,1839
11:16,700,1765
11:16,700,1833
11:16,700,1841
11:17,700,1754
11:17,700,7
11:17,700,98
11:17,700,97
11:17,700,1700
11:17,700,1756
11:18,700,1748
11:18,700,1834
11:18,700,1790
11:18,700,1739
11:18,700,1746
11:18,700,1825
11:19,700,195
11:19,700,86
11:19,700,5
11:19,700,191
11:19,700,92
11:19,700,62
11:20,700,5
11:20,700,77
11:20,700,82
11:20,700,4
11:20,700,92
11:20,700,81
11:21,700,6
11:21,700,72
11:21,700,89
11:21,700,6
11:21,700,90
11:21,700,78
11:22,700,6
11:22,700,73
11:22,700,79
11:22,700,79
11:22,700,183
11:22,700,75
11:23,700,6
11:23,700,88
11:23,700,83
11:23,700,5
11:23,700,73
11:23,700,83
11:24,700,6
11:24,700,6
11:24,700,81
11:24,700,82
11:24,700,6
11:24,700,84
11:25,700,84
11:25,700,4
11:25,700,85
11:25,700,86
11:25,700,3
11:25,700,53
11:26,700,87
11:26,700,7
11:26,700,56
11:26,700,90
11:26,700,5
11:26,700,67
11:27,700,83
11:27,700,5
11:27,700,181
11:27,700,81
11:27,700,3
11:27,700,4
11:28,700,85
11:28,700,86
11:28,700,3
11:28,700,90
11:28,700,88
11:28,700,4
11:29,700,85
11:29,700,85
11:29,700,3
11:29,700,83
11:29,700,70
11:29,700,4
11:30,700,89
11:30,700,79
11:30,700,5
11:30,700,75
11:30,700,82
11:30,700,4
11:31,700,201
11:31,700,83
11:31,700,5
11:31,700,7
11:31,700,86
11:31,700,3
11:32,700,5
11:32,700,95
11:32,700,89
11:32,700,3
11:32,700,85
11:32,700,85
11:33,700,3
11:33,700,87
11:33,700,91
11:33,700,6
11:33,700,75
11:33,700,79
11:34,700,6
11:34,700,58
11:34,700,86
11:34,700,5
11:34,700,190
11:34,700,77
11:35,700,5
11:35,700,185
11:35,700,80
11:35,700,7
11:35,700,15
11:35,700,90
11:36,700,6
11:36,700,4
11:36,700,23
11:36,700,25
11:36,700,17
11:36,700,17
11:37,700,17
11:37,700,6
11:37,700,5
11:37,700,11
11:37,700,80
11:37,700,9
11:38,700,13
11:38,700,114
11:38,700,11
11:38,700,101
11:38,700,5
11:38,700,6
11:39,700,101
11:39,700,4
11:39,700,108
11:39,700,7
11:39,700,119
11:39,700,146
11:40,700,5
11:40,700,110
11:40,700,5
11:40,700,3
11:40,700,112
11:40,700,4
11:41,700,115
11:41,700,111
11:41,700,4
11:41,700,5
11:41,700,133
11:41,700,5
11:42,700,112
11:42,700,33
11:42,700,25
11:42,700,40
11:42,700,72
11:42,700,66
11:43,700,55
11:43,700,58
11:43,700,56
11:43,700,246
11:43,700,310
11:43,700,67
11:44,700,54
11:44,700,57
11:44,700,55
11:44,700,53
11:44,700,100
11:44,700,110
11:45,700,128
11:45,700,113
11:45,700,113
11:45,700,136
11:45,700,137
11:45,700,142
11:46,700,142
11:46,700,127
11:46,700,127
11:46,700,127
11:46,700,130
11:46,700,128
11:47,700,127
11:47,700,19
11:47,700,13
11:47,700,18
11:47,700,5
11:47,700,6
11:48,700,46
11:48,700,18
11:48,700,15
11:48,700,58
11:48,700,15
11:48,700,55
11:49,700,18
11:49,700,17
11:49,700,78
11:49,700,17
11:49,700,18
11:49,700,94
11:50,700,17
11:50,700,108
11:50,700,7
11:50,700,6
11:50,700,96
11:50,700,7
11:51,700,104
11:51,700,112
11:51,700,5
11:51,700,93
11:51,700,13
11:51,700,7
11:52,700,107
11:52,700,6
11:52,700,111
11:52,700,4
11:52,700,110
11:52,700,110
11:53,700,4
11:53,700,109
11:53,700,6
11:53,700,4
11:53,700,106
11:53,700,6
11:54,700,6
11:54,700,107
11:54,700,6
11:54,700,23
11:54,700,25
11:54,700,98
11:55,700,63
11:55,700,56
11:55,700,56
11:55,700,56
11:55,700,210
11:55,700,64
11:56,700,60
11:56,700,56
11:56,700,56
11:56,700,54
11:56,700,60
11:56,700,104
11:57,700,110
11:57,700,16
11:57,700,56
11:57,700,54
11:57,700,54
11:57,700,111
11:58,700,132
11:58,700,116
11:58,700,141
11:58,700,140
11:58,700,123
11:58,700,121
11:59,700,124
11:59,700,16
11:59,700,19
11:59,700,45
11:59,700,57
11:59,700,59
12:00,700,54
12:00,700,56
12:00,700,53
12:00,700,53
12:00,700,46
12:00,700,41
12:01,700,40
12:01,700,41
12:01,700,7
12:01,700,13
12:01,700,44
12:01,700,7
12:02,700,3
12:02,700,40
12:02,700,39
12:02,700,43
12:02,700,38
12:02,700,37
12:03,700,40
12:03,700,6
12:03,700,62
12:03,700,59
12:03,700,57
12:03,700,59
12:04,700,55
12:04,700,106
12:04,700,19
12:04,700,20
12:04,700,52
12:04,700,58
12:05,700,53
12:05,700,52
12:05,700,142
12:05,700,109
12:05,700,118
12:05,700,118
12:06,700,122
12:06,700,138
12:06,700,138
12:06,700,145
12:06,700,140
12:06,700,135
12:07,700,132
12:07,700,134
12:07,700,134
12:07,700,132
12:07,700,136
12:07,700,16
12:08,700,17
12:08,700,24
12:08,700,6
12:08,700,3
12:08,700,39
12:08,700,38
12:09,700,42
12:09,700,44
12:09,700,38
12:09,700,39
12:09,700,40
12:09,700,3
12:10,700,6
12:10,700,44
12:10,700,37
12:10,700,16
12:10,700,40
12:10,700,19
12:11,700,3
12:11,700,2
12:11,700,2
12:11,700,0
12:11,700,0
